Tag Color,Tag number ( --> incicates tag change),Holding Facility,Sex (M/F),Origin,Fertilization date,Collection date,Mortality,
None,1193,BML,F,Wild,n/a,,Mort,
None,04-2 ,BML,M,Wild,n/a,2004,,
Green,G312,BML,F,Wild,n/a,1/31/17,,
Green,G408,BML,unknown,Wild,n/a,3/15/17,,
Green,G410,BML,unknown,Wild,n/a,5/19/17,,
Green,G416,BML,unknown,Wild,n/a,4/12/17,,
Green,G418,BML,unknown,Wild,n/a,6/9/17,,
Green,G425,BML,F,Wild,n/a,3/15/17,,
Green,G429,BML,unknown,Wild,n/a,5/19/17,,
Yellow,Y119,BML,unknown,Wild,n/a,3/18/19,,
Yellow,Y121,BML,M,Wild,n/a,11/13/17,,
Unknown,895,CIMRI,F,Wild,n/a,,Mort,
Unknown,4229,UCSB,M,Wild,n/a,,Mort,
Unknown,119,UCSB,F,Wild,n/a,,Mort,
Green,G305,BML,unknown,Captive,2001,2008,,
Green,G306 --> G310,BML,F,Captive,2001,2008,,
Green,G309,BML,M,Captive,2001,2008,,
Green,G325--> G355,BML,unknown,Captive,2001,2008,,
Green,G328,BML,F,Captive,2001,2008,,
Green,G341--> G313,BML,M,Captive,2001,2008,,
Green,G343,BML,F,Captive,2001,2008,,
Green,G364,BML,F,Captive,2001,2008,,
Green,G371,BML,M,Captive,2001,2008,,
Green,G390--> G389,BML,M,Captive,2001,2008,,
Green,G397,BML,F,Captive,2001,2008,,
Green,G398,BML,unknown,Captive,2001,2008,,
Unknown,033,AOP,M,Captive,2001,2011,,
Unknown,579,AOP,F,Captive,2001,2011,,
Unknown,581,AOP,F,Captive,2001,2011,Mort,
Unknown,037,AOP,M,Captive,2001,2011,Mort,
Unknown,040,AOP,M,Captive,2001,2010,Mort,
Unknown,020,AOP,M,Captive,2001,2011,Mort,
Unknown,024,AOP,M,Captive,2001,2011,Mort,
Unknown,585,AOP,M,Captive,2001,2011,Mort,
Unknown,036,AOP,F,Captive,2001,2011,Mort,
Unknown,017,AOP,F,Captive,2001,2010,Mort,
Unknown,19,CMA,F,Captive,2003,8/21/06,,
Unknown,22,CMA,unknown,Captive,2003,8/21/06,,
Unknown,25,CMA,unknown,Captive,2003,8/21/06,,
Unknown,31,CMA,unknown,Captive,2003,8/21/06,,
Unknown,32,CMA,unknown,Captive,2003,8/21/06,,
Unknown,33,CMA,unknown,Captive,2003,8/21/06,,
Unknown,34,CMA,unknown,Captive,2003,8/21/06,,
Unknown,35,CMA,unknown,Captive,2003,8/21/06,,
Pink,P188,SBMNHSC,M,Captive,2003,,,
Pink,P206,SBMNHSC,M,Captive,2003,,,
Pink,P212,SBMNHSC,M,Captive,2003,,,
Pink,P258,SBMNHSC,M,Captive,2003,,,
Pink,P014,UCSB,F,Captive,2001,,Mort,
Pink,P024,UCSB,F,Captive,2001,,Mort,
Pink,P038,UCSB,F,Captive,2001,,Mort,
Green,G023,UCSB,M,Captive,2001,,Mort,
Pink,P030,UCSB,F,Captive,2001,,Mort,
Green,G043,UCSB,M,Captive,2001,,Mort,
Pink,P047,UCSB,F,Captive,2001,,Mort,
n/a,no tag',UCSB,M,Captive,2001,,Mort,