Tag,SHL_number,Spawning_date,Date_attempted,Spawning_success,Number of eggs spawned (if female)
Green_301,SF08-26,4/23/01,5/9/11,n,
Green_305,SF08-26,4/23/01,5/9/11,n,
Green_310,SF08-26,4/23/01,5/9/11,n,
Green_341,SF08-26,4/23/01,5/9/11,n,
Green_343,SF08-26,4/23/01,5/9/11,n,
Green_371,SF08-26,4/23/01,5/9/11,n,
Green_397,SF08-26,4/23/01,5/9/11,n,
Green_398,SF08-26,4/23/01,5/9/11,n,
Green_301,SF08-26,4/23/01,5/30/12,n,
Green_305,SF08-26,4/23/01,5/30/12,n,
Green_310,SF08-26,4/23/01,5/30/12,n,
Green_309,SF08-26,4/23/01,5/30/12,n,
Green_328,SF08-26,4/23/01,5/30/12,n,
Green_341,SF08-26,4/23/01,5/30/12,n,
Green_343,SF08-26,4/23/01,5/30/12,n,
Green_364,SF08-26,4/23/01,5/30/12,n,
Green_371,SF08-26,4/23/01,5/30/12,n,
Green_389,SF08-26,4/23/01,5/30/12,n,
Green_397,SF08-26,4/23/01,5/30/12,n,
Green_398,SF08-26,4/23/01,5/30/12,n,
Green_301,SF08-26,4/23/01,4/1/14,n,
Green_305,SF08-26,4/23/01,4/1/14,n,
Green_310,SF08-26,4/23/01,4/1/14,n,
Green_309,SF08-26,4/23/01,4/1/14,n,
Green_328,SF08-26,4/23/01,4/1/14,n,
Green_341,SF08-26,4/23/01,4/1/14,n,
Green_343,SF08-26,4/23/01,4/1/14,n,
Green_364,SF08-26,4/23/01,4/1/14,Y,
Green_371,SF08-26,4/23/01,4/1/14,n,
Green_389,SF08-26,4/23/01,4/1/14,n,
Green_397,SF08-26,4/23/01,4/1/14,n,
Green_398,SF08-26,4/23/01,4/1/14,n,
Green_301,SF08-26,4/23/01,3/4/15,n,
Green_305,SF08-26,4/23/01,3/4/15,n,
Green_310,SF08-26,4/23/01,3/4/15,Y,
Green_309,SF08-26,4/23/01,3/4/15,Y,
Green_328,SF08-26,4/23/01,3/4/15,Y,
Green_341,SF08-26,4/23/01,3/4/15,n,
Green_343,SF08-26,4/23/01,3/4/15,n,
Green_364,SF08-26,4/23/01,3/4/15,Y,
Green_371,SF08-26,4/23/01,3/4/15,Y,
Green_389,SF08-26,4/23/01,3/4/15,Y,
Green_397,SF08-26,4/23/01,3/4/15,n,
Green_398,SF08-26,4/23/01,3/4/15,n,